Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107
14,0.291982216167542,0.154574353347497,0.147363438128084,0.201273103817744,0.359822296934548,0.218477082927298,0.172893251522117,0.149317699685862,0.198337466880843,0.210446951934259,0.224540488230911,0.247507637981841,0.33230139471023,0.19370910846074,0.147949573700218,0.163466755407289,0.175684317460908,0.205362200818119,0.154113552181326,0.324879402651226,0.189262565176151,0.266879436614352,0.433333162112183,0.182227229955787,0.322534760200702,0.250086455943639,0.254510626311684,0.215665813283237,0.213835057627955,0.133290693192008,0.164261315601362,0.319240633809228,0.16130841073348,0.314914297331784,0.241134382360153,0.237451697429505,0.207737503706312,0.204179004149061,0.335951582995407,0.231100170909201,0.247928052638725,0.289575365887794,0.29489489123221,0.131615559337857,0.364996056729011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.154778251639148,0.215188985535105,0.333279257358647,0.298053619424924,0.330326524844025,0.253707242871143,0.220228710433393,0.193591493327404,0.166447387086986,0.228112727984469,0.218288516178347,0.166900425071726,0.167967060020748,0.223629582698063,0.273523066421611,0.22185484551361,0.202090508191267,0.201059948000043,0.293767522051987,0.235813805657231,0.328546824130336,0.298936458340757,0.168307044618667,0.324819785248361,0.199315271653329,0.129795442054265,0.244610833271895,0.209079274374696,0.189891223301777,0.194073031747034,0.239320232927628,0.198040852352068,0.16911985251292,0.252569563016406,0.333260891552196,0.1862471156622,0.313356158857627,0.215061891093703,0.255579054706639,0.374477207210522,0.261631495846957,0.217935231129747,0.300373173586277,0.209295315451723,0.324562663611748,0.18884572308891,0.237517511069788,0.162792482240954,0.182356593031457,0.172734949109234,0.229486595564924,0.353711954649173,0.359694833587602,0.232454155873993,0.204236019576935,0.198177159135256,0.33483040798222,0.197468530058502,0.215375256439851,0.19695579208641,0.218843225515977,0.213130280116252,0.290546954937766,0.260399660623505,0.19273471455057,0.173881959187065,0.222173654628318,0.145707305426368,0.24028841664183,0.287606000082459,0.456236787134401,0.24158594203698,0.198039366694445,0.210558692796965,0.161557172507936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.158077186707619,0.187404971600678,0.251573826403749,0.228280374863107,0.37044563068194,0.211068142596742,0.164168429153445,0.364776841349125,0.316301985292851,0.268208842535854,0.209335039423741,0.170601540805055,0.218969660654865,0.170280663922336,0.512967137345486,0.304058234886022,0.286450828346137,0.217757942232098,0.306382676148094,0.221303469769277,0.398746017318681,0.214563949130088,0.268605567975895,0.304470483591839,0.14499610384825,0.189601660790715,0.318767890390195,0.203667521678092,0.323158818445691,0.158229270685062,0.210063214802099,0.133085071202059,0.200166767630524,0.178745324126339,0.142670789023716,0.342035513019171,0.342843536446266,0.438774460247445,0.43941010128264,0.211352484298096,0.225382775360167,0.24286279647628,0.126749797348876,0.229434315855234,0.165887201088258,0.221895250983509,0.233234119593135,0.199763431577057,0.230730602429321,0.211913800993211,0.357216862747354,0.176212712393067,0.218547089887444,0.37318088184806,0.0860031660087268,0.208947957936271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.725383196695655,0.168296334647631,0.37357993913367,0.182711188886746,0.248789489912037,0.223234998386991,0.795900561168849,0.176232215102823,0.136568517786468,0.763490973612605,0.121438031003984,0.276546324129382,0.187657854346366,0.167277165157455,0.704038200057747,0.608731567615148,0.28750880374327,0.182238258346412,0.769667125275546,0.754118652148958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.139027439770556,0.180073840631646,0.204298363136495,0.149789689559528,0.356493706804539,0.261788272512667,0.59287182116826,0.223202355929325,0.313955099726668,0.216790617793126,0.210684907113585,0.319754620372983,0.154353768086152,0.144537154343244,0.285012401931146,0.254308031264952,0.313683334797356,0.243678971903695,0.250256935627714,0.151857401490501,0.151860116574956,0.252969021270944,0.246371939131829,0.25238250502534,0.25059666833763,0.171536685314835,0.194194964322087,0.267872137904177,0.183458230612533,0.221338768963885,0.211371825410848,0.188568729630211,0.238032705817954,0.217901087026907,0.19994235792563,0.293288122728953,0.258661797698559,0.1542481307603,0.237080231850909,0.237348945805333,0.356236347639886,0.204865246699738,0.179262726885459,0.257667779840698,0.207247477180932,0.149088577405525,0.280457614906374,0.313229634357284,0.417023868113381,0.178820840094466,0.190875490805433,0.151973891643718,0.298923315610071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.393087712837255,0.262826293943728,0.458771006750873,0.184220811782663,0.338511619727707,0.539990152272294,0.693689008415806,0.667978541101119,0.514914943509786,0.489590111184685,0.482977545299415,0.375518515992807,0.517487680797615,0.617107087716884,0.156290944171655,0.382268536966352,0.161254108142299,0.311442633168811,0.19824579996419,0.484527643222436,0.26637561551762,0.218778872666772,0.194161728005617,0.552451227967292,0.387475423642443,0.330751803131009,0.22737582279385,0.569525505914466,0.418594562383189,0.351305180066662,0.463087078231947,0.547520863474955,0.382437886353289,0.390004615415204,0.271736223365184,0.272747494198016,0.225366025559345,0.192032919180919,0.193039119486829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.22302214847256,0.180526526191451,0.318946267286968,0.175498224234247,0.151422051648811,0.214040042971391,0.1139696284632,0.241106683724413,0.286601634734378,0.185290520442459,0.368503401249531,0.33557324616095,0.151064880579924,0.163804371958438,0.202660710283834,0.210146244284227,0.369394658757882,0.526716113150721,0.268493605474321,0.255821875599978,0.255374180182247,0.393169002048889,0.22446774204431,0.529842646673752,0.383610910133479,0.329108799185156,0.242237485000687,0.457834168492037,0.42030836289287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.526597182823667,0.628750461948935,0.621148948452262,0.318764797346788,0.315997871624422,0.137399541797887,0.312260364765634,0.381632957679583,0.412875052858823,0.281820697761383,0.262866442076622,0.20291246633707,0.263495496455568,0.292959986470978,0.372259573750445,0.316753930087216,0.454386767030288,0.107164426654649,0.1933930934169,0.348584042740944,0.421174981730526,0.406686467033413,0.157075254746754,0.287864289923528,0.308973578406199,0.225071260552035,0.144952036303764,0.448516648757897,0.150481533533587,0.136885658208938,0.23488479443627,0.247478396138098,0.334803899644261,0.129199921438437,0.267975467684566,0.167719147510135,0.250270741679727,0.239388793588899,0.447966346590597,0.32055223648151,0.219803014584298,0.359645996224542,0.155859085301947,0.393633040021637,0.37126077002733,0.326467996841281,0.233299617888406,0.361206413978626,0.405026831581481,0.192061623388539,0.185148634678965,0.287116083022478,0.364834820662676,0.394945976321076,0.569973261875388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.166675736958878,0.141542599351596,0.233505230450048,0.327840693430567,0.129631287246851,0.256310273879256,0.16321180181262,0.200008311661076,0.156662374772098,0.149711868382295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.32373228268966,0.23769385856913,0.209972092304539,0.238283277113531,0.169299375878397,0.178737635210176,0.166384150661102,0.140607419326927,0.192774413203769,0.218187397190382,0.208554932296031,0.222507655123759,0.319997456669037,0.242912089603085,0.158890225793733,0.227458824260389,0.200016778667554,0.257529577454139,0.228910214927432,0.230399557781021,0.172664377482567,0.207671050382382,0.19459795838872,0.193048906080587,0.156239443499937,0.331294720415437,0.209510037288367,0.319258786659348,0.276427149728978,0.19421366076205,0.351966971368146,0.143137307864259,0.123615786766858,0.226066743499725,0.150874495758639,0.268657172608783,0.149804960025246,0.293678759257216,0.20187589547682,0.170788305558375,0.196460798303422,0.267569796956714,0.316728846039444,0.236729294116564,0.238997755836715,0.273703868738306,0.242756511604888,0.252203656744983,0.288591329760103,0.259473900406288,0.292481230778297,0.196533536885964,0.2739397119375,0.192281196273824,0.216973033802427,0.267772142197974,0.297490441476457,0.292079390675009,0.179518491724362,0.249294910819503,0.131320245571603,0.241449635215685,0.163717063859092,0.176944484816497,0.18529605036983,0.345295550487333,0.255413518591841,0.281250649234959,0.197156656644704,0.306907459480583,0.140674369879867,0.241892079970918,0.270842921864132,0.207320207539346,0.281551224922076,0.218428389008417,0.23381195999458,0.258050414485733,0.33231310745277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.180234624749427,0.104694384342317,0.278745896725142,0.249380307908918,0.256770984119257,0.56619209186824,0.234742946850078,0.226521157448844,0.179239164905776,0.30951550218265,0.283910296394633,0.235202081274556,0.250910183650078,0.181681183074078,0.326560580785688,0.24216488000886,0.258999551592341,0.188626493169662,0.162691354829921,0.177411855621294,0.14297424425922,0.325374805631284,0.141457805901934,0.128123078526495,0.291863408327264,0.312995464092113,0.207295567177324,0.244903882809294,0.273972313919523,0.207662384588947,0.23007827979783,0.24166061572764,0.200075222863545,0.199236034091686,0.240765099874121,0.226191053897007,0.261992719396047,0.266097203602028,0.181095055914942,0.302448454620322,0.154780326233602,0.202134311059649,0.297137551284838,0.277620912898657,0.208585583482325,0.179078876928826,0.273530906873633,0.19114514990874,0.283039792990028,0.760939833702095,0.317835816834748,0.126869252916758,0.26016428216888,0.176306522030227,0.147343041828609,0.290618068220197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.15351643560541,0.28451262901215,0.174871209011818,0.180669646510487,0.160374743838347,0.134150626064433,0.322404385123317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
