Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128
11,0.125974244825033,0.127808390688228,0.103805735564339,0.132764986579258,0.131667511970659,0.195417471107745,0.277981596126163,0.132329385090858,0.199089529418388,0.304762846488502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.372423039111524,0.189031063709142,0.213253965228672,0.179992663545145,0.323797464307654,0.439291608976415,0.434799423060156,0.261043390117709,0.455898668201189,0.14291358444226,0.196377236039905,0.282550355106739,0.312433959780301,0.281920978799218,0.280246090485983,0.319843787539627,0.200261458527519,0.165862177486016,0.32290717518004,0.358949059756926,0.46042794001872,0.178234677505083,0.293342352209519,0.262355290488895,0.438757227513482,0.467191123782033,0.331033936189255,0.311474453129351,0.424568488096449,0.244800512830397,0.170267687969649,0.174526581284535,0.342055594297675,0.248561741040387,0.454756829046813,0.418831109691351,0.216592934949924,0.171051125299535,0.176162545820009,0.2677947089534,0.417462928884925,0.362089165653411,0.447034984216047,0.410748486081451,0.463953261381507,0.370755782600453,0.476148749936926,0.303019986637672,0.18570248123852,0.144999963410814,0.182014399379228,0.368057437117881,0.357419438076278,0.260252655644145,0.341650118308111,0.388036561997707,0.254127980312434,0.407172657644038,0.202832709534555,0.248361037221539,0.459563840622568,0.341289603121939,0.455600452219812,0.173056267913621,0.428137175201805,0.35763406739959,0.239524499344775,0.338816296393732,0.235675058595474,0.503740629833327,0.37768034268257,0.458429878687034,0.355260043569149,0.476940181754271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.197263838811781,0.164966426106454,0.127924574016135,0.301678274608408,0.175844160423839,0.169906654193364,0.229604629517463,0.117821387272772,0.145140081604779,0.198294340277735,0.195571272416322,0.272635265248378,0.174172260362274,0.225825342351521,0.232496380776368,0.156745458104493,0.260904434020372,0.429326661289398,0.126266543709765,0.476206481525753,0.41602178525035,0.457226005040801,0.18574421819246,0.184088541864782,0.121861232051305,0.172730161604766,0.181342526065289,0.209988017185377,0.286868799258634,0.24385661943185,0.217414749110871,0.133700878539504,0.326582033189291,0.186568031077858,0.239148861049808,0.194878184375756,0.272364126393975,0.202749364209181,0.138346042381487,0.181399540829403,0.251637379021785,0.349737920131064,0.332405147772382,0.277869442006686,0.159761947874179,0.183435479357794,0.282075526742337,0.211137421802174,0.188598690217581,0.27596281854445,0.188418473505933,0.15768633572812,0.31947653254587,0.336776623603334,0.297975971772709,0.25721675414122,0.125970700874287,0.245335911878044,0.170441534557676,0.341327405294002,0.172852381805695,0.225826936572301,0.169264855050389,0.241163877139967,0.25309366225797,0.183855285668864,0.124053011958404,0.13236920611196,0.110017500427714,0.125463361735552,0.160970939516831,0.229398638051131,0.23925204405183,0.169071247368815,0.195741763291836,0.170867977921043,0.261178310040237,0.23639839310784,0.177054270958477,0.168513199976954,0.202542480848146,0.319413360187935,0.378491832616913,0.114360781908163,0.111908689458286,0.162186807283686,0.184706060926038,0.261529508475776,0.187039472368215,0.21794370836265,0.184024775608849,0.24604424863199,0.252351357080144,0.132361521016359,0.0967532751439543,0.265824911755847,0.364575699778079,0.173687905934251,0.150114815963604,0.153508597686118,0.324799585400096,0.228245531946741,0.135541116356529,0.137996628904048,0.214417607182067,0.250708650483876,0.267047285795013,0.177190045824334,0.389546088290035,0.297939437518837,0.289950538183445,0.164745077798153,0.208191025048763,0.182773344883961,0.373007105509142,0.294604275381417,0.420497422643161,0.260981324885118,0.126974522054047,0.252170691900053,0.15397841508332,0.229980544018437,0.230670718579902,0.251460791652736,0.348145628110816,0.316460572576766,0.279619826246034,0.345751753859005
14,0.20791535099653,0.123756136340774,0.210366373897569,0.111862833845318,0.127205067063729,0.114212803950608,0.0727851605497497,0.134571173750708,0.124828135499884,0.157280006999499,0.115658662037137,0.147932531538216,0.228295424608656,0.167393134905917,0.07671936888578,0.119407916946341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.162058486007155,0.311371403701826,0.220291025509606,0.280156904875224,0.217321762537062,0.136802922271101,0.158347002310606,0.171754616202191,0.204293303789954,0.173261588448046,0.241235362260531,0.229237579148793,0.225481091344735,0.238588808303862,0.333973730674889,0.165713039966086,0.312396332507744,0.209281073232546,0.261093900551461,0.172581629447129,0.263934823130396,0.211821835988511,0.254439467845122,0.217251339166077,0.152424017470271,0.138236561751435,0.147755505793994,0.1078833517518,0.181801901711533,0.261776516867905,0.296628588174479,0.216853507006784,0.341268714626764,0.293331610304947,0.199027057764597,0.199313031915069,0.335466683781909,0.14858092236278,0.198621240759907,0.233486897264987,0.202866844419193,0.279254322193907,0.136765183634069,0.341715996106026,0.217889673652963,0.207793147858643,0.200781369276619,0.315421627961923,0.292835643322106,0.211510808626057,0.298528151917078,0.256776038443822,0.248422561400366,0.283428724781727,0.304540886473509,0.216991086855687,0.268482499060635,0.226410670330671,0.322271021002135,0.212666585529771,0.218331447934499,0.265461590633887,0.285159947089971,0.268770634996182,0.24460830984497,0.2009152711358,0.130202573152486,0.254080566147406,0.181251480350948,0.164328331354576,0.19760669354336,0.12698658317482,0.274630797150599,0.20140319354479,0.240207796433533,0.238470547529747,0.257072298170477,0.189233686759531,0.256373451672922,0.169193650672357,0.211717147900068,0.307721460835032,0.228783595461533,0.172614565996203,0.276634427084236,0.211132776764709,0.2990757801935,0.249150724937075,0.233897543567686,0.171923122534335,0.266359292755541,0.133469489762937,0.360729965202688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.129814308180219,0.877357883646807,0.442823902279438,0.155723432739688,0.217329303777943,0.147503868452911,0.149294291566875,0.149937666718703,0.125253839143906,0.155221390370508,0.169033051340065,0.191035789769832,0.159439068104172,0.181925317453835,0.152420161853167,0.159049957125703,0.121421552405735,0.85489145813877,0.141528004721184,0.150450085289229,0.244179067268952,0.914191757171312,0.164044670662328,0.242203089748334,0.165892473024571,0.184070396449192,0.117696129370653,0.142288203617942,0.135665325115923,0.155104223974329,0.163239302544375,0.810141535353443,0.115857948508638,0.713465647817229,0.154935500478255,0.17469899153232,0.340403282044148,0.142190402483768,0.104765019897051,0.855736146198489,0.846407730888372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.205345178403885,0.108912613721465,0.194350212268782,0.154044967677715,0.56067796030984,0.145490224877566,0.22939201995037,0.108275355271581,0.150251447811167,0.164547435081455,0.130006326372181,0.218311854262904,0.221133351344623,0.127313552293556,0.170732173573512,0.178587951956111,0.161269889133855,0.126728453434747,0.14236575194007,0.134987471377363,0.17827464513027,0.193222156835889,0.191668541101946,0.207283553641609,0.134204445863615,0.113420663620937,0.138213025364879,0.238079288857813,0.156475210536149,0.223132677951407,0.167911589850554,0.133154461897229,0.161627294324417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.176185060136228,0.157646854455592,0.211850249856088,0.176198118743291,0.186097463754143,0.144243378600206,0.218853335317474,0.14752855976593,0.222920556133582,0.136259889327215,0.173481937819338,0.148027942938495,0.182962316923685,0.137689573348816,0.193765567628739,0.241263740337697,0.162940322765307,0.161737996940394,0.185642068998258,0.126544466874872,0.14128985528314,0.234913113406204,0.198926974649202,0.157338183455271,0.132105658243457,0.141381425632945,0.224666938997186,0.242193075875324,0.179019868940301,0.141056147532948,0.114342863646842,0.148160923892819,0.123207686950364,0.122419523615589,0.203530671309692,0.150019060006491,0.246862843534187,0.147822740617696,0.143656021354185,0.18315380478716,0.173239346251471,0.212002971526172,0.270736390349981,0.161327885196221,0.137250618158054,0.125621490796454,0.224855679698764,0.241140157537038,0.188313591510172,0.147442327100416,0.27349546317883,0.238694998048351,0.189787552284664,0.162902230946554,0.19165285969511,0.152769413013989,0.167587671438287,0.137989264531026,0.169552682407387,0.202397038049859,0.153175686260145,0.179139767230519,0.173209787902483,0.220079876536362,0.218718220754698,0.136205435967255,0.14613522056265,0.171088664289088,0.225933700549233,0.125588732650606,0.16047657719547,0.143914051656157,0.120282837629358,0.18713234235508,0.145693919141054,0.161906947060441,0.206723638039356,0.105246319329906,0.115661597159205,0.177650100472939,0.11335214342543,0.208751046717389,0.169999874175565,0.154598297520251,0.182441940572605,0.126577313603331,0.248078265912344,0.174816086642489,0.147203754876842,0.155193070312976,0.11703233577514,0.198011415828775,0.146137009321168,0.130844827985509,0.190498652149795,0.190558213017386,0.213915233766779,0.144618274719381,0.228293176815045,0.13163796990578,0.168334101814409,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.14636489712242,0.131410736724709,0.153314819137347,0.165822642605749,0.170125164897621,0.122696153677032,0.182355006875368,0.17800225854989,0.120679286463345,0.121402112302148,0.117989572015874,0.140886435336266,0.130613615575467,0.125383607093189,0.172470856611144,0.138230735455068,0.131007845043987,0.147536670868468,0.12144126381155,0.111678780080739,0.209901291917562,0.135766097441514,0.107107640468022,0.152222204248787,0.49252265236617,0.128958097989359,0.149803799393883,0.176999408405556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.176293208404439,0.315020851295822,0.640808222844029,0.167182963459413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
