Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110
11,0.146181960330546,0.107768301568978,0.127131410723414,0.188991621613401,0.148960482398701,0.466709031167109,0.255554192534291,0.204467597032876,0.116069251417609,0.132946606599047,0.0953145399133233,0.141574563846589,0.17335084884814,0.164278442411287,0.0739445164927815,0.104989098818005,0.144421014828603,0.133847871910739,0.175644537600861,0.142322615904861,0.207960913292736,0.116888507300967,0.138028553028026,0.106330535014296,0.0885520119382815,0.108820258769315,0.126443545309925,0.118548704592709,0.0965189567391006,0.126774394976077,0.12583865559317,0.143918338728101,0.115317646950707,0.0863663940984137,0.178321732135866,0.101885033562701,0.191213088326519,0.117745850843894,0.155625232385409,0.0944251622162037,0.107304887501126,0.0687435527021468,0.124881491248973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.135585795258845,0.212400628453824,0.1283892773093,0.201504032899691,0.0913605509839964,0.238745137279535,0.0959794748462414,0.0821663450301632,0.120056636565304,0.140425130810639,0.127008616370385,0.208205052027621,0.230441449320544,0.108129221855094,0.0889154605504945,0.090716710665493,0.271709094920427,0.30860984667451,0.129070014248256,0.0939549000720245,0.0853922957107787,0.112319608869221,0.0648959432641031,0.0878720595240414,0.138047755474321,0.105804515678029,0.245390755596071,0.14349951282841,0.0992483064357481,0.0954453406128377,0.131861455369651,0.0828669193152209,0.133795600419224,0.16979450153089,0.107134987331328,0.10383033403486,0.111854993109715,0.142165316633515,0.0875426859181726,0.0838616770621176,0.154418880100677,0.0889799892832538,0.090135102166216,0.133391653333282,0.139194131062929,0.0864645877309417,0.12336227584419,0.0970867356711156,0.100849127450389,0.131138401380359,0.126738463820734,0.149256294927089,0.0739854291411128,0.0921380727492151,0.29947745628165,0.154882370111909,0.153515113751652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.152052828660549,0.107372968065559,0.0855598414524547,0.305118670034715,0.118343829799513,0.213309558621107,0.113786344605474,0.153705477196408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.153718790039811,0.123786442836621,0.0903810222976132,0.172647388531653,0.314756197798887,0.193676105977348,0.093935579367645,0.180633188947502,0.12392558249399,0.101459577268741,0.0999543208243694,0.0976437570000138,0.108422808728321,0.083175706145342,0.173565145152343,0.342096270087808,0.249453974378369,0.174122225777614,0.160297412163222,0.175875875281213,0.390585789648522,0.0968130188960991,0.167159801954551,0.20842357912174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.189979122202381,0.0634368128591868,0.121668383231963,0.169979751119298,0.102400411306169,0.126657737128349,0.19423271613501,0.143043972523968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0973731041090518,0.121528522672796,0.197295404550057,0.121849311247686,0.103869790149551,0.0870269825168508,0.112433787311079,0.0802662330560443,0.247696384174227,0.163014653729582,0.12506585648907,0.188897057937194,0.14043094987268,0.109472086463108,0.0965053831023834,0.0883071327204316,0.170148482101508,0.0845734664998237,0.070327783312792,0.0923431514780183,0.148194260319697,0.114712308761091,0.102232309312915,0.091611507228168,0.313778089389865,0.174218365492989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0905144321336012,0.265824028457606,0.165933791407615,0.0758961570840645,0.189595442521829,0.225912305857665,0.0870185611938373,0.101154658302623,0.110037627942415,0.0915912502449834,0.111647732760359,0.149124946464141,0.181561735063426,0.1823847973885,0.206045747602583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.176468442029901,0.242477942467581,0.0845242541075354,0.139547334599369,0.0903663750966806,0.106036492772991,0.0884665606575976,0.127070432102385,0.15486102629174,0.121004852407031,0.313686310161099,0.143445417599963,0.102918375376327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.231140576238926,0.158596078918357,0.153546289447052,0.154878945025733,0.128265257084142,0.174234966922398,0.181122528394416,0.0708294557851873,0.139645612730302,0.0794866772454194,0.100925811351601,0.186181393235917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.160034024197015,0.257653851203973,0.134812097572311,0.223733603864023,0.237296680685276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
