Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104
11,0.310880463323039,0.285960243825648,0.18034559560915,0.167934839942258,0.138444717277148,0.176553131268662,0.248205374949602,0.182340914467105,0.277310439052323,0.265094791870266,0.162443910394999,0.230873391676408,0.219252817794896,0.148896184789412,0.164658444702667,0.153421667862047,0.262151086563631,0.190423694143528,0.197518700350708,0.34982511166494,0.157890695829825,0.133358889251151,0.2664621130303,0.156509021670529,0.17029087291754,0.164072310218023,0.204459153534494,0.200414976433265,0.139417653713953,0.162860454990944,0.129683139205674,0.26421568581272,0.155694296381827,0.142177176744252,0.266978548138736,0.136177845117096,0.138371621818956,0.265122232712564,0.165129903249353,0.193909259793129,0.168685324844074,0.152529240238393,0.272663590485774,0.303370845229144,0.143503005801526,0.240899173850954,0.138879446466441,0.110708292319385,0.124031682716322,0.136665828798398,0.206831483033793,0.247926598176391,0.328971973120904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.162423903814178,0.229131249818368,0.229693091842882,0.148085987993155,0.16136334043081,0.203734041425053,0.149220034926562,0.35064898704193,0.309872732614137,0.228143312231545,0.127679428919467,0.192981306920497,0.120186024716738,0.270235894334772,0.248816325259671,0.391310868486323,0.189538279469305,0.252643010422241,0.225438183542206,0.12499772462525,0.238545098948907,0.200200598764052,0.143140238483208,0.161850588687282,0.176671962566438,0.264123793447685,0.223733935575274,0.275723025271481,0.42617157577801,0.442143297900464,0.205889972085187,0.310058031698252,0.252376713395661,0.144267416651206,0.170457557325267,0.18582465321077,0.239075778330287,0.126102778553747,0.25611611014528,0.189500503914413,0.335547752582071,0.127701620826414,0.236166916863292,0.312076252587595,0.161649605882665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.436807265804091,0.142095531034984,0.171895210394361,0.226787939783872,0.211897918589299,0.110814867153184,0.146337528424525,0.150042327533112,0.195511270609725,0.213205816567276,0.172241908374502,0.217650262306919,0.207993971134042,0.210242927530631,0.195775924767731,0.107620911953041,0.161495663682655,0.168489840339088,0.132386905092709,0.218923689507448,0.146552360147849,0.216346246729854,0.231218079838317,0.227088739538522,0.126104752532275,0.188268817526826,0.126411041537788,0.139295877571531,0.145327714551739,0.139478101571557,0.217731685974172,0.205535365443264,0.207230148880918,0.17293991776866,0.170349864640537,0.185982708740636,0.133052445681636,0.179281941197878,0.269429416974412,0.239512374934599,0.0948881058723431,0.11911021822178,0.18754179698794,0.179854310499847,0.218167026978972,0.133884184690116,0.14840138810779,0.147048176829429,0.178727889611573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.162706612440804,0.1908326666333,0.456837608305625,0.334320830141631,0.394182250888089,0.232061257431576,0.217240803458012,0.229587255443865,0.236035118912871,0.159670660713847,0.256945536156097,0.320400537353017,0.56790728222729,0.258483710020773,0.132997985908701,0.195674343912013,0.250684420635782,0.284624229120377,0.223672104857758,0.447652789614522,0.646103531986267,0.298765345069757,0.403954739322237,0.137191325207509,0.401053045283772,0.319313627390422,0.237411373184364,0.305585738730938,0.277392137485171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.136092414787193,0.151142624177917,0.266681961141536,0.180472331065242,0.11099889998704,0.266838452126303,0.173081118726324,0.158897530253887,0.13166507454636,0.179138685485556,0.201789615652056,0.128408182284113,0.218718105397585,0.321242300835607,0.226150352542926,0.225379628585536,0.167772664241652,0.145993083977175,0.199015886418228,0.120634657005673,0.159231270421337,0.159169276409519,0.161096748562288,0.161244129720717,0.166146826397227,0.22476028059949,0.183767136285349,0.212974829549943,0.255569388932962,0.162224727844007,0.245998820508554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.19687126469946,0.171869221943367,0.204306553734177,0.217542689356522,0.224727209990065,0.142210923052858,0.203840033267995,0.264693302825471,0.246683218749196,0.145638099399644,0.195124036007971,0.11537988536493,0.228853227754175,0.0987894991693957,0.205100151619774,0.239681286619254,0.218598812770957,0.164676184314441,0.188432453277454,0.171583957243651,0.20255036610143,0.306757772171311,0.110196935372015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.72474628422549,0.38948652428409,0.788157322808066,0.751367241973317,0.130998480861984,0.685168885136834,0.625302229420994,0.293255194008043,0.158991902527481,0.760104819497575,0.7474553228205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.219228210145872,0.236327420215761,0.235570310769608,0.269642016999546,0.350954010425698,0.258437274436157,0.287518284256218,0.402123086644544,0.44360003203411,0.421587178874136,0.236258239196216,0.22571329776736,0.397064082034881,0.254889981135302,0.182874593566887,0.239544926953259,0.153120646543012,0.232318536646019,0.148041375510535,0.190934248388629,0.14335636558604,0.219806037045506,0.160902942711337,0.205076148831492,0.335986519769431,0.20860817332803,0.207821029989665,0.183602520996792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.266402632831293,0.273665955779682,0.332481984835234,0.27931735795338,0.326391485804618,0.394409183946371,0.129485225398244,0.136539057057146,0.230975499792122,0.148048128054471,0.173423272451173,0.289741199526543,0.30958157676176,0.184558809139056,0.321920358511756,0.236174121736454,0.221962271972959,0.25690363883212,0.221620993859436,0.212412909576691,0.216464202878422,0.306241458338846,0.303363252803793,0.219206439745097,0.269132073649746,0.302866405501383,0.320692005941548,0.196992020687261,0.291246103519585,0.381124749560469,0.514820720469368,0.300796957007146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.129975265726064,0.170181808537353,0.213736456089491,0.169491180869643,0.192313154581841,0.196071439098016,0.230441230753489,0.267555991711276,0.13239805475033,0.168129641298428,0.288486171085191,0.178907506054077,0.209075677501553,0.384633446973485,0.175271712317114,0.341211487417754,0.281191576530357,0.185993495407323,0.138320509669427,0.258061848085297,0.169383400897526,0.229512689496195,0.198108779741529,0.209244483705333,0.189739980842919,0.224894569354469,0.230517185599638,0.190134446501025,0.237319153887673,0.342715126446387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
