Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101
11,0.148329288698861,0.183975987760686,0.270205628319524,0.212821582068211,0.270784599050545,0.111529072026121,0.148543144210887,0.139038240813594,0.165703043024099,0.19753860720626,0.0952549592559129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.323099090383655,0.380934110222638,0.18300894483875,0.127176907831407,0.144194174617984,0.151854681657023,0.245797617059141,0.220759941379071,0.173544119401209,0.257636824357589,0.231853639249423,0.231253946184179,0.11582076960271,0.119219352648338,0.128264627365714,0.296773290764178,0.225288328109977,0.242375482744471,0.106354284479226,0.294691059324019,0.279331828652017,0.177613172416921,0.142412431580588,0.151707699921326,0.209937795439204,0.164569018507743,0.189055225394923,0.228622331904365,0.218830271796915,0.152592029139821,0.19380262745662,0.144484208082001,0.163482910345953,0.151115485268976,0.133910378015142,0.139318494607827,0.215859844705922,0.198355221652413,0.151183497222304,0.352484373750638,0.173173371943794,0.24355096836168,0.200232786679911,0.214108839630769,0.141142436736085,0.122642861477586,0.151171824020035,0.233773476274507,0.176756605460934,0.211612618218294,0.153487775469014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.204161128169072,0.156662961566852,0.171160510598435,0.188131682194302,0.1492449635346,0.184422123479978,0.150996041172424,0.289886842837852,0.260715856931054,0.277993816514259,0.249402163580777,0.167770249532437,0.210097793444321,0.213927077697798,0.230465653478326,0.412479894087546,0.558506035079005,0.308146855018509,0.124293436375359,0.247857570332813,0.107013359951202,0.26109854306749,0.351482354640363,0.214321711440761,0.430411944612371,0.330915208209095,0.45404431000027,0.119589226228252,0.453128727731015,0.171238528056948,0.16195889323331,0.327441331557665,0.27342052600382,0.269948271307701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.11713753590206,0.242308332659898,0.171394647253906,0.157579896737523,0.176828380351825,0.175045965723143,0.345082230508009,0.230498287942533,0.181161473908624,0.252261219943299,0.316386484018231,0.143722780783161,0.118633525935423,0.166152669340392,0.190398855045165,0.159209727161019,0.214575975646149,0.181954728169208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.534023369076993,0.538149539799519,0.207867945663767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.151056659724825,0.331661403333121,0.18324124107856,0.170153273744708,0.226670277024001,0.238077845142868,0.19739039663852,0.338474689620682,0.144853049869023,0.137264007360075,0.204914501574112,0.164165213465014,0.18520200093828,0.127911455267861,0.456532723038731,0.128540980148905,0.157119857077001,0.219286917549088,0.161527826752428,0.183596044587966,0.161155764238279,0.216709739954909,0.204629604780938,0.15142495698694,0.341759047229049,0.178904854481264,0.161319254980337,0.159034421482111,0.184104064382824,0.22710870632825,0.298438682128055,0.355473264981576,0.231435332853148,0.331906687409932,0.235382436638052,0.292657965956328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.16477273720921,0.243054184368396,0.287927927100503,0.263223692210589,0.231518293979324,0.60429630301167,0.254710593604532,0.147804627290368,0.0954731055563525,0.239639871638372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.744270052555471,0.42626128770997,0.135389671997788,0.0891836618561062,0.778260599362291,0.745842962133604,0.104136475422822,0.107977842433218,0.66550076002043,0.64480354389024,0.356098109128219,0.755812680747994,0.71642694798896,0.101170999557212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.171941783506333,0.161777635440903,0.131832147666606,0.231828668483979,0.187659726740647,0.159009366193351,0.174372970192682,0.119032774918982,0.196824413143489,0.185288244793023,0.333465703649861,0.179117498025358,0.23705684314625,0.11001375972559,0.141532910963305,0.302019391676055,0.18567482267837,0.222297819177353,0.402875440073928,0.368668594811897,0.317677206041073,0.206837526842197,0.177815973703972,0.174050704906534,0.11480399625905,0.134385232886655,0.116980867945549,0.220446189966949,0.13325493380143,0.301261808306834,0.21258197987455,0.18914596151146,0.225617232190284,0.151280669419901,0.225326541451671,0.184788281564471,0.210837924657651,0.242444103662519,0.18300633466354,0.196396748852099,0.146315067063911,0.332135166602998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.203694218806828,0.283980636650778,0.460128791554298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
